avg_rating,image,price,title,total_review
4.2,https://m.media-amazon.com/images/I/61XQvVp6VRL.__AC_SX300_SY300_QL70_ML2_.jpg,33.99,"Calming Dog Bed Fluffy Plush Dog Mat for Furniture Protector with Removable Washable Cover for Large Medium Small Dogs and Cats (Large(45x37x6), Dark Grey)","5,759"
,https://m.media-amazon.com/images/I/71DTc-lyOiL.__AC_SX300_SY300_QL70_ML2_.jpg,11.04,PET N PET Poop Bags Unscented | Dog Poop Bags with Tie Handles | USDA Certified 38% Biobased Dog Waste Bags | Cat Poop Bags | Durable Dog Bags for Poop | Easy Dispensing 200 Counts Poop Bags for Dogs,
4.5,https://m.media-amazon.com/images/I/412jkCko7OL._SX300_SY300_QL70_ML2_.jpg,23.99,"Mane 'N Tail Shampoo & Conditioner Combo Set (32 oz Each) For Horses and Humans For A ""Down to the Skin"" Cleansing and Conditioning","9,009"
4.6,https://m.media-amazon.com/images/I/81nuvGuNXwL.__AC_SX300_SY300_QL70_ML2_.jpg,6.39,"Joytale Reflective Dog Collar,Soft Neoprene Padded Breathable Nylon Pet Collar Adjustable for Medium Dogs,Teal,M","47,588"
4.8,https://m.media-amazon.com/images/I/61T3C8TfIpL.__AC_SX300_SY300_QL70_ML2_.jpg,23.99,"HEMWEE Cat Window Perch, Cat Window Hammock for Indoor Cats, Easy to Adjust & Assemble Large Cat Bed Seat for Windowsill, Bedside,Drawer and Cabinet",303
4.1,https://m.media-amazon.com/images/I/71eJyGif0VL.__AC_SX300_SY300_QL70_ML2_.jpg,5.89,"Hunger for Words Talking Pet Doorbell - 1 Piece Doorbell for Dogs, Doggie Doorbell, Perfect for Dog Potty Training, Talking Dog Buttons",519
4.4,https://m.media-amazon.com/images/I/61v5rcGyETL.__AC_SX300_SY300_QL70_ML2_.jpg,15.29,Vet's Best Allergy Itch Relief Dog Shampoo | Cleans and Relieves Discomfort from Seasonal Allergies | Gentle Formula | 16 Oz,"9,510"
4.3,https://m.media-amazon.com/images/I/71VGqm8gEFL.__AC_SX300_SY300_QL70_ML2_.jpg,7.62,"JW Pet Chompion Heavyweight Dog Chew Toy for Large Breeds, Assorted Colors","3,978"
4.4,https://m.media-amazon.com/images/I/61kKwRmuntL.__AC_SX300_SY300_QL70_ML2_.jpg,14.99,NPET Cat Water Fountain WF050TP 1.5L Automatic Pet Drinking Fountain with Replacement Faucet Kit,"24,359"
4.4,https://m.media-amazon.com/images/I/81NAKEo7P6L.__AC_SX300_SY300_QL70_ML2_.jpg,7.99,"Pet Feeding Mat-Absorbent Dog Food Mat-Dog Mat for Food and Water-No Stains Quick Dry Dog Water Dispenser Mat-Pet Supplies-Dog Placemat Dog Water Bowl for Messy Drinkers 12""X19"" Dark Grey",103
