avg_rating,image,price,title,total_review
4.6,https://m.media-amazon.com/images/I/71itWCghugL.__AC_SX300_SY300_QL70_ML2_.jpg,124.99,"2023 Kids Tablet, 10 inch Android 13 Tablets for Kid Toddler 12GB+128GB 6000mAh Tablet with Shockproof Case, 5G WiFi, Google Kids Space Parental Control, 1280 * 800 HD Touchscreen Dual Camera -Green",42
4.2,https://m.media-amazon.com/images/I/61Tgw4Aeq3L.__AC_SY300_SX300_QL70_ML2_.jpg,124.00,"Apple iPad Air 2 128GB Factory Unlocked (Wi-Fi + Cellular 4G LTE, Space Gray) Newest Version (Renewed)",280
4.5,https://m.media-amazon.com/images/I/51Ke4dPP-kL.__AC_SX300_SY300_QL70_ML2_.jpg,178.80,"Apple 9.7in iPad (6th Generation, 128GB, Wi-Fi + 4G LTE, Gold) (Renewed)",140
4.3,https://m.media-amazon.com/images/I/61tT3QC5DaL.__AC_SX300_SY300_QL70_ML2_.jpg,139.97,"Apple iPad Air 2 MH1J2LL/A (128GB, Wi-Fi, Gold) NEWEST VERSION (Renewed)",573
3.9,https://m.media-amazon.com/images/I/71M6R9m1laL.__AC_SX300_SY300_QL70_ML2_.jpg,67.99,"10.1 '' Android Toddler Tablet 2GB 32GB for Kids APP Preinstalled & Parent Control Kids Learning Education Tablet WiFi Camera,Netflix YouTube Hands-Free Watching(2022 Release),Blue",485
3.8,https://m.media-amazon.com/images/I/71Z2YOb9WXL.__AC_SY300_SX300_QL70_ML2_.jpg,49.99,Kids Tablet 7inch Tablet for Kids Android 10 Toddler Tablet Eye Protection 32GB Kids APP Preinstalled Learning Tablet WiFi Education Dual Cameras with Kid-Proof Case YouTube Netflix Google Play Store,"1,872"
4.3,https://m.media-amazon.com/images/I/61aAhjPMnzL.__AC_SX300_SY300_QL70_ML2_.jpg,144.97,"Apple iPad Air 2 WiFi Cellular (32GB, Silver Cellular)(Renewed)",140
4.5,https://m.media-amazon.com/images/I/81NrkWJMSNL.__AC_SX300_SY300_QL70_ML2_.jpg,84.99,"SAMSUNG Galaxy A7 Lite 32GB 8.7-Inch Wi-Fi Tablet (Silver, Renewed)",556
4.5,https://m.media-amazon.com/images/I/71jtGND-FSL.__AC_SX300_SY300_QL70_ML2_.jpg,,"SEBBE Tablet 10 Inch Android 13 Tablet PC 12GB RAM + 128GB ROM TF 1TB Octa-Core 2.0 GHz, Google GMS | Bluetooth 5.0 | 5G WiFi | 6000mAh | 1280 * 800 | 5MP+8MP, Tablet with Keyboard and Mouse Blue",86
4,https://m.media-amazon.com/images/I/71iCsEpE-xL.__AC_SX300_SY300_QL70_ML2_.jpg,119.99,"Apple MD786LL/A 32GB A7 1.3GHz 9.7 inches, Black (Renewed)",119
4.1,https://m.media-amazon.com/images/I/711WhVPJRqL._AC_SY300_SX300_.jpg,139.99,"All-new Amazon Fire HD 10 Kids Pro tablet- 2023, ages 6-12 | Bright 10.1"" HD screen | Slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Happy Day",15
4.5,https://m.media-amazon.com/images/I/71JUZ-kVW-L.__AC_SX300_SY300_QL70_ML2_.jpg,140.02,"2023 Tablet 10.1 Inch 2 in 1 Android Tablet with keyboard Octa-Core Processor 128GB Storage 1TB Expandable, 13+8MP Dual Camera, Newest Tablets PC with Case Mouse Stylus Support 5G WiFi, IPS FHD Screen",280
4.2,https://m.media-amazon.com/images/I/81itYxKtJCL.__AC_SX300_SY300_QL70_ML2_.jpg,99.97,Apple iPad Air 2 16GB WiFi 2GB iOS 10 9.7in Tablet - Space Gray (Renewed),563
4.4,https://m.media-amazon.com/images/I/71miOExATKL.__AC_SX300_SY300_QL70_ML2_.jpg,229.99,Apple iPad Pro 10.5in - 256GB Wifi - 2017 Model - Silver (Renewed),145
4.2,https://m.media-amazon.com/images/I/71OJoeH54pL.__AC_SX300_SY300_QL70_ML2_.jpg,49.99,"Relndoo Kids Tablet, 7 inch Android 11 Tablet for Kids, 3GB RAM 32GB ROM, Toddler Tablet with Bluetooth, WiFi, Parental Control, Dual Camera, GMS, Shockproof Case, Kids App Pre-Installed",434
4.2,https://m.media-amazon.com/images/I/71TQ8dkHZ3L.__AC_SX300_SY300_QL70_ML2_.jpg,159.99,"Tablet with Keyboard, Android 2 in 1 Tablets, 2023 Newest 10.1 inch Tablet HD, 4GB RAM 64GB ROM 256GB Expandable, Octa-Core Processor, WiFi, GPS, Bluetooth, Google Certified Tablet PC",984
3.7,https://m.media-amazon.com/images/I/71gJ64dnf5L.__AC_SX300_SY300_QL70_ML2_.jpg,39.99,"Kids Tablet 7 inch Tablet for Kids 64GB Toddler Tablet with Case Software Installed, Kids Learning Tablet with WiFi for Boys Girls, Android Tablet with Dual Camera Parental Control YouTube Netflix",85
4.2,https://m.media-amazon.com/images/I/61QdKIjvewL.__AC_SX300_SY300_QL70_ML2_.jpg,70.00,"Lenovo Tab M8 (3rd Gen) 8"" HD (1280x800) IPS 350nits Glossy, Touch, MediaTek Helio P22T up to 2.3 GHz, 8 Cores, 3GB RAM, 32GB eMMC, Bluetooth, WiFi, Android 11, Iron Grey, EAT Cloth",101
4.1,https://m.media-amazon.com/images/I/81tDBjzvcWL.__AC_SX300_SY300_QL70_ML2_.jpg,9.99,"10 Inch Android Tablet pc, 64GB ROM 128GB Expand, Octa-Core Tablets, IPS HD Touch Screen,Google Certificated Wi-Fi Tablets, G+G, 8MP Camera, Long Battery Life,Silver-(with Leather case)…","1,078"
4,https://m.media-amazon.com/images/I/71R5PgmN-fL.__AC_SX300_SY300_QL70_ML2_.jpg,9.99,"Tablet 10 inch Android Tablets, Android 11 Google Certified Tablet with Case Included, 3GB RAM 64GB ROM 512GB Expand, WiFi Tablet 10"" IPS HD Touch Screen Dual Camera Long Battery Life",51
3.5,https://m.media-amazon.com/images/I/81SaTeu7+bL._AC_SX300_SY300_.jpg,52.71,"Android Tablet, 10 inch Android 12 Tablet, 32GB ROM, 512GB Expand Android Tablet with 8000mAh Battery, Dual Camera, WiFi, Bluetooth, IPS HD Touch Screen, Google GMS Certified",520
4.1,https://m.media-amazon.com/images/I/61KCj7ZjbgL.__AC_SY300_SX300_QL70_ML2_.jpg,109.97,"Apple iPad Air 2 16GB Wi-Fi 9.7in, Silver (Renewed) (Renewed)",252
4.5,https://m.media-amazon.com/images/I/71kHlBdEqWL.__AC_SX300_SY300_QL70_ML2_.jpg,89.99,"ALLDOCUBE Android 13 Tablet, 1200 * 1920 in-Cell 8.4 inch Tablet, 8-core Gaming Tablet, 2.4GHz/5GHz WiFi Tablet, 12GB(4+8)+64GB, iPlay 50 Mini Support 4G LTE, BT5.0 5MP/5MP Camera Tablet for Kids",94
4.7,https://m.media-amazon.com/images/I/7184cuAiMzL.__AC_SX300_SY300_QL70_ML2_.jpg,159.98,"Tablet 10.1 Inch Android 12 Tablets 2023 Latest Android Tablet 128GB ROM+16GB RAM (8+8 Virtual), 2 in 1 Tablet with Keyboard, Powerful Octa-Core+13MP Camera, 1TB TF Expandable, FHD WiFi Tablet PC",61
4.4,https://m.media-amazon.com/images/I/614mkvkYdmL.__AC_SX300_SY300_QL70_ML2_.jpg,489.33,"2018 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Renewed)",286
3.8,https://m.media-amazon.com/images/I/61KIendhj0S.__AC_SX300_SY300_QL70_ML2_.jpg,87.98,"Samsung Galaxy Tab A7 Lite 8.7"" (2021) 32GB WiFi+LTE Unlocked Tablet - Gray (Renewed)",39
4.4,https://m.media-amazon.com/images/I/71RQMHbQTHL.__AC_SX300_SY300_QL70_ML2_.jpg,186.00,"New Microsoft Surface Go 2 - 10.5"" Touch-Screen - Intel Pentium - 4GB Memory - 64GB - Wifi - Platinum (Latest Model)",850
4.6,https://m.media-amazon.com/images/I/71uAQvHFRUL.__AC_SY445_SX342_QL70_ML2_.jpg,,"Apple Smart Keyboard Folio: iPad Keyboard case for iPad Pro 12.9‑inch (3rd, 4th, 5th, 6th Generation), Two Viewing Angles, Front and Back Protection, British English - Black","2,980"
4.2,https://m.media-amazon.com/images/I/91X91LF4xxL.__AC_SX300_SY300_QL70_ML2_.jpg,319.97,"Apple iPad Pro (32GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)",409
4.5,https://m.media-amazon.com/images/I/61d5w87Zz-L.__AC_SX300_SY300_QL70_ML2_.jpg,189.00,"Apple iPad with WiFi, 128GB, Gold (2018 Model) (Renewed)","1,102"
